ranking_year,institute_id,institute_name,state,city,calendar_year,category,sub_category,value,unit
2024,IR-O-U-0108,Jamia Millia Islamia,Delhi,New Delhi,2021,Patents,Number of Patents Published,35,value in Absolute Number
2024,IR-O-U-0108,Jamia Millia Islamia,Delhi,New Delhi,2020,Patents,Number of Patents Published,40,value in Absolute Number
2024,IR-O-U-0108,Jamia Millia Islamia,Delhi,New Delhi,2022,Patents,Number of Patents Granted,16,value in Absolute Number
2024,IR-O-U-0108,Jamia Millia Islamia,Delhi,New Delhi,2021,Patents,Number of Patents Granted,12,value in Absolute Number
2024,IR-O-U-0108,Jamia Millia Islamia,Delhi,New Delhi,2020,Patents,Number of Patents Granted,11,value in Absolute Number
2024,IR-O-U-0357,National Institute of Technology Rourkela,,Rourkela,2022,Patents,Number of Patents Published,11,value in Absolute Number
2024,IR-O-U-0357,National Institute of Technology Rourkela,,Rourkela,2021,Patents,Number of Patents Published,9,value in Absolute Number
2024,IR-O-U-0357,National Institute of Technology Rourkela,,Rourkela,2020,Patents,Number of Patents Published,17,value in Absolute Number
2024,IR-O-U-0357,National Institute of Technology Rourkela,,Rourkela,2022,Patents,Number of Patents Granted,8,value in Absolute Number
2024,IR-O-U-0357,National Institute of Technology Rourkela,,Rourkela,2021,Patents,Number of Patents Granted,5,value in Absolute Number
2024,IR-O-U-0357,National Institute of Technology Rourkela,,Rourkela,2020,Patents,Number of Patents Granted,4,value in Absolute Number
2024,IR-O-U-0410,Malaviya National Institute of Technology Jaipur,,Jaipur,2022,Patents,Number of Patents Published,7,value in Absolute Number
2024,IR-O-U-0410,Malaviya National Institute of Technology Jaipur,,Jaipur,2021,Patents,Number of Patents Published,4,value in Absolute Number
2024,IR-O-U-0410,Malaviya National Institute of Technology Jaipur,,Jaipur,2020,Patents,Number of Patents Published,4,value in Absolute Number
2024,IR-O-U-0410,Malaviya National Institute of Technology Jaipur,,Jaipur,2022,Patents,Number of Patents Granted,7,value in Absolute Number
2024,IR-O-U-0410,Malaviya National Institute of Technology Jaipur,,Jaipur,2021,Patents,Number of Patents Granted,6,value in Absolute Number
2024,IR-O-U-0410,Malaviya National Institute of Technology Jaipur,,Jaipur,2020,Patents,Number of Patents Granted,0,value in Absolute Number
2024,IR-O-U-0467,National Institute of Technology Tiruchirappalli,,Tiruchchirappalli,2022,Patents,Number of Patents Published,15,value in Absolute Number
2024,IR-O-U-0467,National Institute of Technology Tiruchirappalli,,Tiruchchirappalli,2021,Patents,Number of Patents Published,12,value in Absolute Number
2024,IR-O-U-0467,National Institute of Technology Tiruchirappalli,,Tiruchchirappalli,2020,Patents,Number of Patents Published,4,value in Absolute Number
2024,IR-O-U-0467,National Institute of Technology Tiruchirappalli,,Tiruchchirappalli,2022,Patents,Number of Patents Granted,15,value in Absolute Number
2024,IR-O-U-0467,National Institute of Technology Tiruchirappalli,,Tiruchchirappalli,2021,Patents,Number of Patents Granted,11,value in Absolute Number
2024,IR-O-U-0467,National Institute of Technology Tiruchirappalli,,Tiruchchirappalli,2020,Patents,Number of Patents Granted,3,value in Absolute Number
2024,IR-O-U-0020,Koneru Lakshmaiah Education Foundation,,Vijayawada,2022,Patents,Number of Patents Published,338,value in Absolute Number
2024,IR-O-U-0020,Koneru Lakshmaiah Education Foundation,,Vijayawada,2021,Patents,Number of Patents Published,151,value in Absolute Number
2024,IR-O-U-0020,Koneru Lakshmaiah Education Foundation,,Vijayawada,2020,Patents,Number of Patents Published,111,value in Absolute Number
2024,IR-O-U-0020,Koneru Lakshmaiah Education Foundation,,Vijayawada,2022,Patents,Number of Patents Granted,8,value in Absolute Number
2024,IR-O-U-0020,Koneru Lakshmaiah Education Foundation,,Vijayawada,2021,Patents,Number of Patents Granted,2,value in Absolute Number
2024,IR-O-U-0020,Koneru Lakshmaiah Education Foundation,,Vijayawada,2020,Patents,Number of Patents Granted,2,value in Absolute Number
2024,IR-O-U-0329,Symbiosis International University,Maharashtra,Pune,2022,Patents,Number of Patents Published,88,value in Absolute Number
2024,IR-O-U-0329,Symbiosis International University,Maharashtra,Pune,2021,Patents,Number of Patents Published,53,value in Absolute Number
2024,IR-O-U-0329,Symbiosis International University,Maharashtra,Pune,2020,Patents,Number of Patents Published,20,value in Absolute Number
2024,IR-O-U-0329,Symbiosis International University,Maharashtra,Pune,2022,Patents,Number of Patents Granted,3,value in Absolute Number
2024,IR-O-U-0329,Symbiosis International University,Maharashtra,Pune,2021,Patents,Number of Patents Granted,1,value in Absolute Number
2024,IR-O-U-0329,Symbiosis International University,Maharashtra,Pune,2020,Patents,Number of Patents Granted,1,value in Absolute Number
2024,IR-O-U-0006,Andhra University,,Visakhapatnam,2022,Patents,Number of Patents Published,63,value in Absolute Number
2024,IR-O-U-0006,Andhra University,,Visakhapatnam,2021,Patents,Number of Patents Published,48,value in Absolute Number
2024,IR-O-U-0006,Andhra University,,Visakhapatnam,2020,Patents,Number of Patents Published,16,value in Absolute Number
2024,IR-O-U-0006,Andhra University,,Visakhapatnam,2022,Patents,Number of Patents Granted,9,value in Absolute Number
2024,IR-O-U-0006,Andhra University,,Visakhapatnam,2021,Patents,Number of Patents Granted,7,value in Absolute Number
2024,IR-O-U-0006,Andhra University,,Visakhapatnam,2020,Patents,Number of Patents Granted,2,value in Absolute Number
2024,IR-O-U-0474,Sathyabama Institute of Science and Technology,Tamil Nadu,Chennai,2022,Patents,Number of Patents Published,199,value in Absolute Number
2024,IR-O-U-0474,Sathyabama Institute of Science and Technology,Tamil Nadu,Chennai,2021,Patents,Number of Patents Published,100,value in Absolute Number
2024,IR-O-U-0474,Sathyabama Institute of Science and Technology,Tamil Nadu,Chennai,2020,Patents,Number of Patents Published,94,value in Absolute Number
2024,IR-O-U-0474,Sathyabama Institute of Science and Technology,Tamil Nadu,Chennai,2022,Patents,Number of Patents Granted,78,value in Absolute Number
2024,IR-O-U-0474,Sathyabama Institute of Science and Technology,Tamil Nadu,Chennai,2021,Patents,Number of Patents Granted,24,value in Absolute Number
2024,IR-O-U-0474,Sathyabama Institute of Science and Technology,Tamil Nadu,Chennai,2020,Patents,Number of Patents Granted,13,value in Absolute Number
2024,IR-O-U-0098,Delhi Technological University,,New Delhi,2022,Patents,Number of Patents Published,23,value in Absolute Number
2024,IR-O-U-0098,Delhi Technological University,,New Delhi,2021,Patents,Number of Patents Published,17,value in Absolute Number
2024,IR-O-U-0098,Delhi Technological University,,New Delhi,2020,Patents,Number of Patents Published,13,value in Absolute Number
2024,IR-O-U-0098,Delhi Technological University,,New Delhi,2022,Patents,Number of Patents Granted,4,value in Absolute Number
2024,IR-O-U-0098,Delhi Technological University,,New Delhi,2021,Patents,Number of Patents Granted,2,value in Absolute Number
2024,IR-O-U-0098,Delhi Technological University,,New Delhi,2020,Patents,Number of Patents Granted,1,value in Absolute Number
