Idp;Institution;Country;Sector;Rank;Global Rank;Percentage;Percentile
68786;Presidency University, Kolkata;IND;Universities;248;7091;44.85;77
10261;Motilal Nehru National Institute of Technology;IND;Universities;249;8890;45.03;77
97187;Central University of Jharkhand;IND;Universities;250;8257;45.21;77
77714;South Asian University;IND;Universities;251;9109;45.39;77
3449;Shri Mata Vaishno Devi University;IND;Universities;252;8120;45.57;77
77227;Loyola College;IND;Universities;253;9265;45.75;77
71037;Central Institute of Medicinal and Aromatic Plants;IND;Government;254;8633;45.93;77
3385;Maulana Azad National Institute of Technology;IND;Universities;255;8385;46.11;77
72550;Indian Institute of Management, Bangalore;IND;Universities;256;8689;46.29;77
96350;Indian Institute of Soil and Water Conservation;IND;Government;257;8978;46.47;77
3479;University of Burdwan;IND;Universities;258;8196;46.65;78
70875;Punjab Engineering College;IND;Universities;259;9409;46.84;78
77740;Nitte University;IND;Universities;260;7222;47.02;78
84961;Gautam Buddha University;IND;Universities;261;9422;47.2;78
10241;Integral University;IND;Universities;262;8589;47.38;78
96178;Sardar Vallabhbhai National Institute of Technology;IND;Universities;263;8694;47.56;78
3287;Dr Babasaheb Ambedkar Marathwada University;IND;Universities;264;7674;47.74;78
56254;Seth Gordhandas Sunderdas Medical College and King Edward Memorial Hospital;IND;Health;265;6946;47.92;78
68792;Karunya Institute of Technology and Sciences;IND;Universities;266;7943;48.1;78
77733;Pandit Deendayal Energy University;IND;Universities;267;7735;48.28;78
10230;PDPM Indian Institute of Information Technology, Design and Manufacturing Jabalpur;IND;Universities;268;9071;48.46;78
71619;Central Building Research Institute;IND;Government;269;7326;48.64;78
3307;Gujarat University;IND;Universities;270;9397;48.82;78
68796;Government Medical College and Hospital, Chandigarh;IND;Health;271;7404;49.01;78
3421;Punjab Agricultural University;IND;Universities;272;8299;49.19;79
80540;Indian Institute of Science Education and Research, Thiruvananthapuram;IND;Government;273;8047;49.37;79
26412;S.N. Bose National Centre for Basic Sciences;IND;Government;274;7305;49.55;79
26407;Raman Research Institute;IND;Government;275;6019;49.73;79
91889;Yenepoya University;IND;Universities;276;7876;49.91;79
3387;Mohan Lal Sukhadia University;IND;Universities;277;8996;50.09;79
71285;Sri Siva Subramania Nadar College of Engineering;IND;Universities;278;8683;50.27;79
84948;Central University of Gujarat;IND;Universities;279;9207;50.45;79
3346;Jaypee University of Information Technology;IND;Universities;280;9150;50.63;80
3253;Indian Institute of Engineering Science and Technology, Shibpur;IND;Universities;281;9256;50.81;80
3309;Guru Ghasidas Vishwavidyalaya;IND;Universities;282;8940;50.99;80
77709;Vignan University;IND;Universities;283;8390;51.18;80
3440;Saurashtra University;IND;Universities;284;9673;51.36;80
69354;Indira Gandhi Medical College;IND;Universities;285;6613;51.54;80
97073;Maharaja Agrasen Institute of Technology;IND;Universities;286;8613;51.72;80
91920;Veer Surendra Sai University of Technology;IND;Universities;287;8983;51.9;80
71332;National Botanical Research Institute;IND;Government;288;8694;52.08;80
96234;Gokaraju Rangaraju Institute of Engineering & Technology;IND;Universities;289;6545;52.26;80
3467;Tamil Nadu Veterinary and Animal Sciences University;IND;Universities;290;8886;52.44;80
91904;DIT University;IND;Universities;291;7934;52.62;80
96186;Indian Institute of Wheat and Barley Research;IND;Government;292;7584;52.8;80
96189;Ashoka University;IND;Universities;293;7645;52.98;80
92499;Charotar University of Science and Technology;IND;Universities;294;8745;53.16;80
3386;Mizoram University;IND;Universities;295;8057;53.35;80
10298;Thiagarajar College of Engineering;IND;Universities;296;9197;53.53;81
3243;Avinashilingam University for Women;IND;Universities;297;8781;53.71;81
26445;Variable Energy Cyclotron Centre;IND;Government;298;4509;53.89;81
92129;Techno India College of Technology;IND;Universities;299;9234;54.07;81
3240;Assam Agricultural University;IND;Universities;300;8844;54.25;81
77596;National Institute of Technology Hamirpur;IND;Universities;301;8802;54.43;81
3509;Visvesvaraya Technological University;IND;Universities;302;8745;54.61;81
26413;Saha Institute of Nuclear Physics;IND;Government;303;4716;54.79;81
26173;Central Leather Research Institute;IND;Government;304;9566;54.97;81
96179;University of Gour Banga;IND;Universities;305;5915;55.15;81
3496;Kavayitri Bahinabai Chaudhari North Maharashtra University;IND;Universities;306;9589;55.33;81
71136;Lady Hardinge Medical College;IND;Health;307;6942;55.52;82
3417;Periyar University;IND;Universities;308;8569;55.7;82
97180;Jaypee University of Engineering and Technology;IND;Universities;309;8761;55.88;82
70624;PES University;IND;Universities;310;9709;56.06;82
70655;Armed Forces Medical College;IND;Universities;311;6240;56.24;82
26183;Central Soil Salinity Research Institute;IND;Government;312;6204;56.42;82
80462;National Dairy Research Institute;IND;Government;313;8158;56.6;82
3473;The Maharaja Sayajirao University of Baroda;IND;Universities;314;9338;56.78;82
3407;Nizam's Institute of Medical Sciences;IND;Universities;315;7526;56.96;82
80569;M. S. Ramaiah Institute of Technology;IND;Universities;316;9427;57.14;82
3311;Guru Jambheshwar University of Science and Technology;IND;Universities;317;8917;57.32;82
3512;Maulana Abul Kalam Azad University of Technology, West Bengal;IND;Universities;318;9303;57.5;82
3283;Devi Ahilya University;IND;Universities;319;9404;57.69;83
3301;Goa University;IND;Universities;320;9321;57.87;83
97148;Islamic University of Science and Technology;IND;Universities;321;8394;58.05;83
3315;Hemwati Nandan Bahuguna Garhwal University;IND;Universities;322;9041;58.23;83
96181;Galgotias University;IND;Universities;323;8871;58.41;83
97856;VIT-AP University;IND;Universities;324;8059;58.59;83
77573;University College of Medical Sciences;IND;Universities;325;7443;58.77;83
97043;Chennai Institute of Technology;IND;Universities;326;7828;58.95;83
3359;Kurukshetra University;IND;Universities;327;9391;59.13;83
3353;Karnatak University;IND;Universities;328;8344;59.31;83
97102;International Institute of Information Technology, Bhubaneswar;IND;Universities;329;9427;59.49;83
56218;Safdarjang Hospital;IND;Health;330;5928;59.67;83
26399;Physical Research Laboratory;IND;Government;331;5784;59.86;84
26446;Veermata Jijabai Technological Institute;IND;Universities;332;9620;60.04;84
71104;National Institute of Technology Durgapur;IND;Universities;333;9331;60.22;84
3229;Acharya Nagarjuna University;IND;Universities;334;8781;60.4;84
77692;Bharath Institute of Higher Education and Research;IND;Universities;335;7652;60.58;84
70786;Dr BR Ambedkar National Institute of Technology;IND;Universities;336;9078;60.76;84
97147;Ravenshaw University;IND;Universities;337;9354;60.94;84
96346;Central Marine Fisheries Research Institute;IND;Government;338;8472;61.12;84
97106;National Institute of Technology, Delhi;IND;Universities;339;9416;61.3;84
3455;Sri Krishnadevaraya University;IND;Universities;340;8158;61.48;85
3389;Rashtrasant Tukadoji Maharaj Nagpur University;IND;Universities;341;9256;61.66;85
96223;Chitkara University, Himachal Pradesh;IND;Universities;342;8228;61.84;85
3347;Jiwaji University;IND;Universities;343;9014;62.03;85
26156;Central Electronics Engineering Research Institute;IND;Government;344;9725;62.21;85
3437;Sardar Patel University;IND;Universities;345;9262;62.39;85
91914;BS Abdur Rahman Crescent Institute of Science and Technology;IND;Universities;346;9110;62.57;85
77595;GH Raisoni College of Engineering;IND;Universities;347;7860;62.75;85
3275;Chhatrapati Shahu Ji Maharaj University;IND;Universities;348;9522;62.93;85
97200;OP Jindal Global University;IND;Universities;349;8672;63.11;85
69338;Institute of Management Technology, Ghaziabad;IND;Universities;350;8856;63.29;85
96349;Central Inland Fisheries Research Institute;IND;Government;351;8412;63.47;85
3304;Anand Agricultural University;IND;Universities;352;8902;63.65;85
3459;Sri Venkateswara University;IND;Universities;353;9041;63.83;86
26377;National Physical Laboratory India;IND;Government;354;8992;64.01;86
96307;Madanapalle Institute of Technology and Science;IND;Universities;355;9071;64.2;86
77697;Hindustan Institute of Technology and Science;IND;Universities;356;9078;64.38;86
3477;University of Agricultural Sciences, Bangalore;IND;Universities;357;8927;64.56;86
91907;Central University of Tamil Nadu;IND;Universities;358;8659;64.74;86
3250;Banasthali University;IND;Universities;359;9319;64.92;86
97152;Indian Institute of Management, Kashipur;IND;Universities;360;9361;65.1;86
3292;Dr Hari Singh Gour Vishwavidyalaya;IND;Universities;361;9047;65.28;86
69347;Management Development Institute, Gurgaon;IND;Universities;362;8021;65.46;86
3443;Sher-e-Kashmir University of Agricultural Sciences and Technology-Jammu;IND;Universities;363;8370;65.64;86
97004;SR University;IND;Universities;364;6712;65.82;86
3434;Sambalpur University;IND;Universities;365;8849;66;86
77735;Vel Tech University;IND;Universities;366;8015;66.18;86
3316;Himachal Pradesh University;IND;Universities;367;9570;66.37;86
62098;Ministry of Earth Sciences *;IND;Government;368;8172;66.55;86
3360;Kuvempu University;IND;Universities;369;8652;66.73;86
77699;Lala Lajpat Rai University of Veterinary and Animal Sciences;IND;Universities;370;9029;66.91;87
87263;Tata Steel Ltd, India;IND;Companies;371;9745;67.09;87
3356;Kerala Agricultural University;IND;Universities;372;8878;67.27;87
97065;National Institute of Technology, Meghalaya;IND;Universities;373;9539;67.45;87
96308;Indira Gandhi Delhi Technical University for Women;IND;Universities;374;9684;67.63;87
68788;Guru Angad Dev Veterinary and Animal Sciences University;IND;Universities;375;8428;67.81;87
97099;National Institute of Technology, Puducherry;IND;Universities;376;8068;67.99;87
91886;Madan Mohan Malaviya University Of Technology;IND;Universities;377;8735;68.17;87
26416;Pandit Bhagwat Dayal Sharma Post Graduate Institute of Medical Sciences;IND;Universities;378;6024;68.35;87
3278;Dayalbagh Educational Institute;IND;Universities;379;9602;68.54;87
91884;JC Bose University of Science and Technology YMCA;IND;Universities;380;9589;68.72;88
97186;Cotton University;IND;Universities;381;9141;68.9;88
97064;National Institute of Technology, Srinagar;IND;Universities;382;9012;69.08;88
80564;Space Applications Centre;IND;Government;383;9668;69.26;88
96304;Aliah University;IND;Universities;384;9374;69.44;88
3483;University of Kalyani;IND;Universities;385;9001;69.62;88
69265;Central Glass and Ceramic Research Institute;IND;Government;386;9625;69.8;88
91888;JECRC University;IND;Universities;387;7764;69.98;88
92133;Indian Institute of Space Science and Technology;IND;Universities;388;9613;70.16;89
97145;Velammal Engineering College;IND;Universities;389;9516;70.34;89
26409;Institute of Minerals and Materials Technology;IND;Government;390;9418;70.52;89
3383;Manonmaniam Sundaranar University;IND;Universities;391;9092;70.71;89
96303;Azim Premji University;IND;Universities;392;8394;70.89;89
97293;Parul University;IND;Universities;393;9239;71.07;89
97135;Rajalakshmi Institute of Technology;IND;Universities;394;7682;71.25;89
77675;PSG College of Arts and Science;IND;Universities;395;8771;71.43;89
96269;Central University of Karnataka;IND;Universities;396;8745;71.61;89
69214;Datta Meghe Institute of Higher Education and Research *;IND;Universities;397;6800;71.79;89
77691;Karpagam University;IND;Universities;398;8745;71.97;89
3482;University of Jammu;IND;Universities;399;7747;72.15;90
96193;Uttaranchal University;IND;Universities;400;8694;72.33;90
