ranking_year,ranking_category,institute_id,institute_name,state,city,academic_year,category,value,unit
2024,Overall,IR-O-U-0184,Indian Institute of Technology (ISM) Dhanbad,Jharkhand,Dhanbad,2020-21,Amount received (INR),5687378.0,value in Rupees
2024,Overall,IR-O-I-1074,Indian Institute of Technology Bhilai,Chhattisgarh,Bhilai,2022-23,Number of sponsored projects,595.0,value in Absolute Number
2024,Overall,IR-O-I-1074,Indian Institute of Technology Bhilai,Chhattisgarh,Bhilai,2021-22,Number of sponsored projects,728.0,value in Absolute Number
2024,Overall,IR-O-I-1074,Indian Institute of Technology Bhilai,Chhattisgarh,Bhilai,2020-21,Number of sponsored projects,602.0,value in Absolute Number
2024,Overall,IR-O-I-1074,Indian Institute of Technology Bhilai,Chhattisgarh,Bhilai,2022-23,Amount received (INR),3334108500.0,value in Rupees
2024,Overall,IR-O-I-1074,Indian Institute of Technology Bhilai,Chhattisgarh,Bhilai,2021-22,Amount received (INR),3798462730.0,value in Rupees
2024,Overall,IR-O-I-1074,Indian Institute of Technology Bhilai,Chhattisgarh,Bhilai,2020-21,Amount received (INR),2663882947.0,value in Rupees
2024,Overall,IR-O-I-1074,Indian Institute of Technology Bhilai,Chhattisgarh,Bhilai,2022-23,Amount received (INR),670792077.0,value in Rupees
2024,Overall,IR-O-I-1074,Indian Institute of Technology Bhilai,Chhattisgarh,Bhilai,2021-22,Amount received (INR),441274688.0,value in Rupees
2024,Overall,IR-O-I-1074,Indian Institute of Technology Bhilai,Chhattisgarh,Bhilai,2020-21,Amount received (INR),392480556.0,value in Rupees
2024,Overall,IR-O-U-0378,Indian Institute of Technology Goa,Goa,Goa,2022-23,Number of sponsored projects,141.0,value in Absolute Number
2024,Overall,IR-O-U-0378,Indian Institute of Technology Goa,Goa,Goa,2021-22,Number of sponsored projects,122.0,value in Absolute Number
2024,Overall,IR-O-U-0378,Indian Institute of Technology Goa,Goa,Goa,2020-21,Number of sponsored projects,125.0,value in Absolute Number
2024,Overall,IR-O-U-0378,Indian Institute of Technology Goa,Goa,Goa,2022-23,Amount received (INR),552857140.0,value in Rupees
2024,Overall,IR-O-U-0378,Indian Institute of Technology Goa,Goa,Goa,2021-22,Amount received (INR),103527107.0,value in Rupees
2024,Overall,IR-O-U-0378,Indian Institute of Technology Goa,Goa,Goa,2020-21,Amount received (INR),374032038.0,value in Rupees
2024,Overall,IR-O-U-0378,Indian Institute of Technology Goa,Goa,Goa,2022-23,Amount received (INR),57503417.0,value in Rupees
2024,Overall,IR-O-U-0378,Indian Institute of Technology Goa,Goa,Goa,2021-22,Amount received (INR),47659637.0,value in Rupees
2024,Overall,IR-O-U-0378,Indian Institute of Technology Goa,Goa,Goa,2020-21,Amount received (INR),42355987.0,value in Rupees
2024,Overall,IR-O-I-1075,Indian Institute of Technology Jammu,Jammu and Kashmir,Jammu,2022-23,Number of sponsored projects,1018.0,value in Absolute Number
2024,Overall,IR-O-I-1075,Indian Institute of Technology Jammu,Jammu and Kashmir,Jammu,2021-22,Number of sponsored projects,991.0,value in Absolute Number
2024,Overall,IR-O-I-1075,Indian Institute of Technology Jammu,Jammu and Kashmir,Jammu,2020-21,Number of sponsored projects,892.0,value in Absolute Number
2024,Overall,IR-O-I-1075,Indian Institute of Technology Jammu,Jammu and Kashmir,Jammu,2022-23,Amount received (INR),2151803000.0,value in Rupees
2024,Overall,IR-O-I-1075,Indian Institute of Technology Jammu,Jammu and Kashmir,Jammu,2021-22,Amount received (INR),2302487100.0,value in Rupees
2024,Overall,IR-O-I-1075,Indian Institute of Technology Jammu,Jammu and Kashmir,Jammu,2020-21,Amount received (INR),2682497000.0,value in Rupees
2024,Overall,IR-O-I-1075,Indian Institute of Technology Jammu,Jammu and Kashmir,Jammu,2022-23,Amount received (INR),704353000.0,value in Rupees
2024,Overall,IR-O-I-1075,Indian Institute of Technology Jammu,Jammu and Kashmir,Jammu,2021-22,Amount received (INR),360860600.0,value in Rupees
2024,Overall,IR-O-I-1075,Indian Institute of Technology Jammu,Jammu and Kashmir,Jammu,2020-21,Amount received (INR),252886900.0,value in Rupees
2024,Overall,IR-O-U-0013,Indian Institute of Technology Dharwad,Karnataka,Dharwad,2022-23,Number of sponsored projects,315.0,value in Absolute Number
2024,Overall,IR-O-U-0013,Indian Institute of Technology Dharwad,Karnataka,Dharwad,2021-22,Number of sponsored projects,84.0,value in Absolute Number
2024,Overall,IR-O-U-0013,Indian Institute of Technology Dharwad,Karnataka,Dharwad,2020-21,Number of sponsored projects,123.0,value in Absolute Number
2024,Overall,IR-O-U-0013,Indian Institute of Technology Dharwad,Karnataka,Dharwad,2022-23,Amount received (INR),797745442.0,value in Rupees
2024,Overall,IR-O-U-0013,Indian Institute of Technology Dharwad,Karnataka,Dharwad,2021-22,Amount received (INR),218555338.0,value in Rupees
2024,Overall,IR-O-U-0013,Indian Institute of Technology Dharwad,Karnataka,Dharwad,2020-21,Amount received (INR),722577352.0,value in Rupees
2024,Overall,IR-O-U-0013,Indian Institute of Technology Dharwad,Karnataka,Dharwad,2022-23,Amount received (INR),173626396.0,value in Rupees
2024,Overall,IR-O-U-0013,Indian Institute of Technology Dharwad,Karnataka,Dharwad,2021-22,Amount received (INR),245978922.0,value in Rupees
2024,Overall,IR-O-U-0013,Indian Institute of Technology Dharwad,Karnataka,Dharwad,2020-21,Amount received (INR),75113417.0,value in Rupees
2024,Overall,IR-O-U-0220,Indian Institute of Science,Karnataka,Bengaluru,2022-23,Number of sponsored projects,1343.0,value in Absolute Number
2024,Overall,IR-O-U-0220,Indian Institute of Science,Karnataka,Bengaluru,2021-22,Number of sponsored projects,1178.0,value in Absolute Number
2024,Overall,IR-O-U-0220,Indian Institute of Science,Karnataka,Bengaluru,2020-21,Number of sponsored projects,1594.0,value in Absolute Number
2024,Overall,IR-O-U-0220,Indian Institute of Science,Karnataka,Bengaluru,2022-23,Amount received (INR),5347726925.0,value in Rupees
2024,Overall,IR-O-U-0220,Indian Institute of Science,Karnataka,Bengaluru,2021-22,Amount received (INR),5437309580.0,value in Rupees
2024,Overall,IR-O-U-0220,Indian Institute of Science,Karnataka,Bengaluru,2020-21,Amount received (INR),5257220083.0,value in Rupees
