ranking_year,ranking_category,institute_id,institute_name,state,city,academic_year,category,value,unit,expected_name
2024,Overall,IR-O-U-0120,University of Lucknow,Uttar Pradesh,Lucknow,2020-21,Number of sponsored projects,434.0,value in Absolute Number,University of Delhi
2024,Overall,IR-O-U-0120,University of Lucknow,Uttar Pradesh,Lucknow,2022-23,Amount received (INR),491071150.0,value in Rupees,University of Delhi
2024,Overall,IR-O-U-0120,University of Lucknow,Uttar Pradesh,Lucknow,2021-22,Amount received (INR),555256974.0,value in Rupees,University of Delhi
2024,Overall,IR-O-U-0120,University of Lucknow,Uttar Pradesh,Lucknow,2020-21,Amount received (INR),559389437.0,value in Rupees,University of Delhi
2024,Overall,IR-O-U-0120,University of Lucknow,Uttar Pradesh,Lucknow,2022-23,Amount received (INR),6127369.0,value in Rupees,University of Delhi
2024,Overall,IR-O-U-0120,University of Lucknow,Uttar Pradesh,Lucknow,2021-22,Amount received (INR),3025674.0,value in Rupees,University of Delhi
2024,Overall,IR-O-U-0120,University of Lucknow,Uttar Pradesh,Lucknow,2020-21,Amount received (INR),995713.0,value in Rupees,University of Delhi
2024,Overall,IR-O-I-1357,University of Mysore,Karnataka,Mysuru,2022-23,Number of sponsored projects,51.0,value in Absolute Number,University of Madras
2024,Overall,IR-O-I-1357,University of Mysore,Karnataka,Mysuru,2021-22,Number of sponsored projects,180.0,value in Absolute Number,University of Madras
2024,Overall,IR-O-I-1357,University of Mysore,Karnataka,Mysuru,2020-21,Number of sponsored projects,89.0,value in Absolute Number,University of Madras
2024,Overall,IR-O-I-1357,University of Mysore,Karnataka,Mysuru,2022-23,Amount received (INR),222156177.0,value in Rupees,University of Madras
2024,Overall,IR-O-I-1357,University of Mysore,Karnataka,Mysuru,2021-22,Amount received (INR),212005920.0,value in Rupees,University of Madras
2024,Overall,IR-O-I-1357,University of Mysore,Karnataka,Mysuru,2020-21,Amount received (INR),282233735.0,value in Rupees,University of Madras
2024,Overall,IR-O-I-1357,University of Mysore,Karnataka,Mysuru,2022-23,Amount received (INR),4828569.0,value in Rupees,University of Madras
2024,Overall,IR-O-I-1357,University of Mysore,Karnataka,Mysuru,2021-22,Amount received (INR),2395414.0,value in Rupees,University of Madras
2024,Overall,IR-O-I-1357,University of Mysore,Karnataka,Mysuru,2020-21,Amount received (INR),1771263.0,value in Rupees,University of Madras
2024,Overall,IR-O-U-0410,Sardar Vallabhbhai National Institute of Technology Surat,Gujarat,Surat,2022-23,Number of sponsored projects,47.0,value in Absolute Number,Malaviya National Institute of Technology
2024,Overall,IR-O-U-0410,Sardar Vallabhbhai National Institute of Technology Surat,Gujarat,Surat,2021-22,Number of sponsored projects,27.0,value in Absolute Number,Malaviya National Institute of Technology
2024,Overall,IR-O-U-0410,Sardar Vallabhbhai National Institute of Technology Surat,Gujarat,Surat,2020-21,Number of sponsored projects,23.0,value in Absolute Number,Malaviya National Institute of Technology
2024,Overall,IR-O-U-0410,Sardar Vallabhbhai National Institute of Technology Surat,Gujarat,Surat,2022-23,Amount received (INR),112858802.0,value in Rupees,Malaviya National Institute of Technology
2024,Overall,IR-O-U-0410,Sardar Vallabhbhai National Institute of Technology Surat,Gujarat,Surat,2021-22,Amount received (INR),123237780.0,value in Rupees,Malaviya National Institute of Technology
2024,Overall,IR-O-U-0410,Sardar Vallabhbhai National Institute of Technology Surat,Gujarat,Surat,2020-21,Amount received (INR),74562861.0,value in Rupees,Malaviya National Institute of Technology
2024,Overall,IR-O-U-0410,Sardar Vallabhbhai National Institute of Technology Surat,Gujarat,Surat,2022-23,Amount received (INR),116740984.0,value in Rupees,Malaviya National Institute of Technology
2024,Overall,IR-O-U-0410,Sardar Vallabhbhai National Institute of Technology Surat,Gujarat,Surat,2021-22,Amount received (INR),135986070.0,value in Rupees,Malaviya National Institute of Technology
2024,Overall,IR-O-U-0410,Sardar Vallabhbhai National Institute of Technology Surat,Gujarat,Surat,2020-21,Amount received (INR),136922298.0,value in Rupees,Malaviya National Institute of Technology
2024,Overall,IR-O-U-0470,Presidency University,,Kolkata,2022-23,Number of sponsored projects,11.0,value in Absolute Number,Periyar University
2024,Overall,IR-O-U-0470,Presidency University,,Kolkata,2021-22,Number of sponsored projects,26.0,value in Absolute Number,Periyar University
2024,Overall,IR-O-U-0470,Presidency University,,Kolkata,2020-21,Number of sponsored projects,18.0,value in Absolute Number,Periyar University
2024,Overall,IR-O-U-0470,Presidency University,,Kolkata,2022-23,Amount received (INR),24639447.0,value in Rupees,Periyar University
2024,Overall,IR-O-U-0470,Presidency University,,Kolkata,2021-22,Amount received (INR),21815834.0,value in Rupees,Periyar University
2024,Overall,IR-O-U-0470,Presidency University,,Kolkata,2020-21,Amount received (INR),27911045.0,value in Rupees,Periyar University
2024,Overall,IR-O-U-0470,Presidency University,,Kolkata,2022-23,Amount received (INR),668832.0,value in Rupees,Periyar University
2024,Overall,IR-O-U-0470,Presidency University,,Kolkata,2021-22,Amount received (INR),543260.0,value in Rupees,Periyar University
2024,Overall,IR-O-U-0470,Presidency University,,Kolkata,2020-21,Amount received (INR),27267577.0,value in Rupees,Periyar University
2024,Overall,IR-O-U-0260,GLA University,,Mathura,2022-23,Number of sponsored projects,48.0,value in Absolute Number,Kerala University
2024,Overall,IR-O-U-0260,GLA University,,Mathura,2021-22,Number of sponsored projects,42.0,value in Absolute Number,Kerala University
2024,Overall,IR-O-U-0260,GLA University,,Mathura,2020-21,Number of sponsored projects,68.0,value in Absolute Number,Kerala University
2024,Overall,IR-O-U-0260,GLA University,,Mathura,2022-23,Amount received (INR),332000000.0,value in Rupees,Kerala University
2024,Overall,IR-O-U-0260,GLA University,,Mathura,2021-22,Amount received (INR),262830217.0,value in Rupees,Kerala University
2024,Overall,IR-O-U-0260,GLA University,,Mathura,2020-21,Amount received (INR),166621630.0,value in Rupees,Kerala University
2024,Overall,IR-O-U-0260,GLA University,,Mathura,2022-23,Amount received (INR),34954732.0,value in Rupees,Kerala University
2024,Overall,IR-O-U-0260,GLA University,,Mathura,2021-22,Amount received (INR),27267398.0,value in Rupees,Kerala University
2024,Overall,IR-O-U-0260,GLA University,,Mathura,2020-21,Amount received (INR),39152755.0,value in Rupees,Kerala University
2024,Overall,IR-O-U-0456,"Birla Institute of Technology, Mesra",,Ranchi,2022-23,Number of sponsored projects,699.0,value in Absolute Number,Indian Institute of Technology Madras
2024,Overall,IR-O-U-0456,"Birla Institute of Technology, Mesra",,Ranchi,2021-22,Number of sponsored projects,576.0,value in Absolute Number,Indian Institute of Technology Madras
2024,Overall,IR-O-U-0456,"Birla Institute of Technology, Mesra",,Ranchi,2020-21,Number of sponsored projects,784.0,value in Absolute Number,Indian Institute of Technology Madras
