institution_id,openalex_id,canonical_name,scimago_idp,scimago_rank,scimago_global_rank,scimago_pct,scimago_percentile,scimago_q1_pct,scimago_year
338f6c5e-2956-40cf-80ce-2047521fc9ef,I115715567,"Birla Institute of Technology, Mesra",3263,226,8815,40.87,75.0,40.87,2019
8c466cdb-a2a4-4bf0-856f-f28560ed0e3b,I20107917,Sri Ramachandra Institute of Higher Education and Research,77692,335,7652,60.58,84.0,60.58,2019
cb1e371e-ffd1-4175-974b-b91e8cbe4ea1,I155125381,Galgotias University,96181,323,8871,58.41,83.0,58.41,2019
20a76e3b-d397-44ea-a50b-42ad2940af51,I79161377,Punjabi University,3423,246,8978,44.48,77.0,44.48,2019
b2210d61-d364-40bd-abfa-2d7b5023d562,I141641110,Shivaji University,3445,244,8689,44.12,76.0,44.12,2019
81dfed4d-dcca-4b15-8548-b5b5d98fa6c4,I932239252,SASTRA University,3440,284,9673,51.36,80.0,51.36,2019
36d17eae-f23d-4896-8bb8-848c7ba25547,I19008122,Mangalore University,3380,403,8886,72.88,90.0,72.88,2019
149ca745-c80a-4eb3-97bd-36ad7d8e4b2b,I4210108783,Christian Medical College,56265,59,5139,10.67,49.0,10.67,2019
5374b462-1d87-4026-a9dd-901a6e394a62,I10874241,"Jawaharlal Nehru Technological University, Hyderabad",3344,173,9324,31.28,69.0,31.28,2019
a281fcbb-f4c9-4634-9e3a-a1aa7b0c9321,I65220239,Karpagam Academy of Higher Education,3381,10,1539,1.81,18.0,1.81,2019
73f788c8-33d5-4d60-9d7a-bb3fd5221d14,I158338959,University of Kerala,3485,132,8585,23.87,63.0,23.87,2019
