institution_id,tier,inst_type,city,state,openalex_id,ror_id,total_works,match_confidence,is_hub,nirf_institute_id,nirf_rank,nirf_score,nirf_year,canonical_name,latitude,longitude,geo_source
1a5bd65a-cf0d-45e2-8735-5434d64998b8,premier,IIT,Dharwad,Karnataka,I4210152718,0509djg30,2505,manual,False,,,,,Indian Institute of Technology Dharwad,15.4862017,74.9385785,campus_indian_institute_of_technology_dharwad
6fb57ff7-f044-4eb9-b7d6-bebdef022df4,premier,IISc,Bengaluru,Karnataka,I59270414,04dese585,87588,manual,False,IR-O-U-0220,2,83.28,2024,Indian Institute of Science,13.0222347,77.5671832,campus_indian_institute_of_science
2dbad614-cedc-4bdc-a02e-8a66054a8bd9,premier,Central_Univ,New Delhi,Delhi,I63739035,02dwcqs71,81726,openalex_auto,False,IR-D-N-15,1,94.46,2024,All India Institute of Medical Sciences,28.5667,77.209,campus_aiims
4d6717be-0714-4972-b1d4-571c58d9a46f,premier,Central_Univ,New Delhi,Delhi,I110166357,04gzb2213,78527,openalex_auto,False,IR-O-U-0120,15,64.81,2024,University of Delhi,28.6829,77.2065,campus_du_north
fd56c1b8-3390-4d13-9121-2b061d0b11ac,premier,Central_Univ,Vellore,Tamil Nadu,I876193797,00qzypv28,71015,openalex_auto,False,IR-E-U-0490,11,66.22,2024,Vellore Institute of Technology University,12.9692,79.1559,campus_vit
672214f6-22a9-4d55-8c6c-5b28a5159516,premier,Central_Univ,Varanasi,Uttar Pradesh,I91357014,04cdn2797,70815,openalex_auto,False,IR-O-U-0500,11,67.56,2024,Banaras Hindu University,25.2663747,82.9904648,campus_banaras_hindu_university
47b972a6-fdf5-499c-a99f-fd0fedb15993,premier,Central_Univ,Chennai,Tamil Nadu,I85461943,0034me914,56020,openalex_auto,False,,,,,Saveetha University,13.0549,80.2832,campus_saveetha
131f1481-eede-4a15-a738-57b4c90b26ad,premier,Central_Univ,Chandigarh,,I45294948,009nfym65,50838,openalex_auto,False,IR-O-U-0446,73,48.36,2024,Post Graduate Institute of Medical Education and Research,30.764,76.7754,campus_pgi
c7f37aac-de96-454a-bf3d-af0ff418e79e,premier,Central_Univ,Manipal,Karnataka,I164861460,02xzytt36,50271,openalex_auto,False,IR-O-U-0234,14,64.94,2024,Manipal Academy of Higher Education,13.352,74.7869,campus_manipal
93e1f5b3-3c8f-4e18-a29b-afa586e5d865,premier,Central_Univ,Chennai,,I145286018,050113w36,46469,openalex_auto,False,,,,,SRM Institute of Science and Technology,12.8236,80.0442,campus_srm_chennai
4a1e94cf-f0b6-4560-ab2c-bd58ab8792ac,premier,Central_Univ,Jaipur,Rajasthan,I99552915,05arfhc56,46143,openalex_auto,False,,,,,University of Rajasthan,26.8912,75.8153,campus_rajasthan_univ
