inst_a,inst_b,openalex_a,openalex_b,year,weight,citation_weight
5f90b565-15b8-4035-ab58-963431c3275d,672214f6-22a9-4d55-8c6c-5b28a5159516,I56404289,I91357014,2021,881,15193
5f90b565-15b8-4035-ab58-963431c3275d,672214f6-22a9-4d55-8c6c-5b28a5159516,I56404289,I91357014,2022,1016,12544
0e011302-5676-4cf1-95b3-f0adc82f6893,672214f6-22a9-4d55-8c6c-5b28a5159516,I51317819,I91357014,2016,318,4777
5f90b565-15b8-4035-ab58-963431c3275d,672214f6-22a9-4d55-8c6c-5b28a5159516,I56404289,I91357014,2017,500,9391
0e011302-5676-4cf1-95b3-f0adc82f6893,672214f6-22a9-4d55-8c6c-5b28a5159516,I51317819,I91357014,2015,275,4353
49837a23-0599-4a35-a43f-15be413cc1a0,5f90b565-15b8-4035-ab58-963431c3275d,I162827531,I56404289,2018,3,319
49837a23-0599-4a35-a43f-15be413cc1a0,672214f6-22a9-4d55-8c6c-5b28a5159516,I162827531,I91357014,2018,7,432
38518a3c-9425-41d0-8068-2e2332a46de1,0e011302-5676-4cf1-95b3-f0adc82f6893,I129734738,I51317819,2022,43,377
38518a3c-9425-41d0-8068-2e2332a46de1,672214f6-22a9-4d55-8c6c-5b28a5159516,I129734738,I91357014,2022,11,311
0e011302-5676-4cf1-95b3-f0adc82f6893,672214f6-22a9-4d55-8c6c-5b28a5159516,I51317819,I91357014,2022,489,3338
7553f510-4039-4c36-b5d3-2dd983d9bc70,0e3df575-bd15-41f1-821e-51c48763aa57,I65181880,I68891433,2021,11,1138
c7c580b5-a5eb-45ec-9dde-854ee5af23c0,0e3df575-bd15-41f1-821e-51c48763aa57,I162030827,I68891433,2016,19,1606
0e3df575-bd15-41f1-821e-51c48763aa57,d51bcfb2-a187-49fa-9ebd-fd12ae98e331,I68891433,I99729588,2016,15,724
6627a151-3a0d-44f3-adf4-d5255e5a4cc9,0e3df575-bd15-41f1-821e-51c48763aa57,I170979836,I68891433,2017,5,441
a6628147-0d10-4564-bae9-b8be8be7cd21,0e3df575-bd15-41f1-821e-51c48763aa57,I42014448,I68891433,2020,21,931
dc14b8e6-72b8-4c26-bec4-815435b7b8b7,5cb3587e-a197-4ece-8d45-9f364c87990f,I152429107,I19716509,2017,4,381
dc14b8e6-72b8-4c26-bec4-815435b7b8b7,b49755e6-20af-465e-9c60-82974ede833a,I152429107,I36893310,2017,4,472
dc14b8e6-72b8-4c26-bec4-815435b7b8b7,0e3df575-bd15-41f1-821e-51c48763aa57,I152429107,I68891433,2017,25,807
5cb3587e-a197-4ece-8d45-9f364c87990f,b49755e6-20af-465e-9c60-82974ede833a,I19716509,I36893310,2017,4,498
5cb3587e-a197-4ece-8d45-9f364c87990f,0e3df575-bd15-41f1-821e-51c48763aa57,I19716509,I68891433,2017,6,445
b49755e6-20af-465e-9c60-82974ede833a,0e3df575-bd15-41f1-821e-51c48763aa57,I36893310,I68891433,2017,5,429
0e3df575-bd15-41f1-821e-51c48763aa57,ae9d1da9-8ea6-45ab-ab98-70e36ba8a21b,I68891433,I99364266,2020,17,1193
0e3df575-bd15-41f1-821e-51c48763aa57,129be347-f8df-4fd2-b553-37ff0fd31af1,I68891433,I94234084,2015,18,490
8a91aa93-1bba-4381-a03c-d032be364f69,0e3df575-bd15-41f1-821e-51c48763aa57,I5847235,I68891433,2016,3,333
6f93f0ad-7358-4fd0-bc47-0a62092ca0ac,0e3df575-bd15-41f1-821e-51c48763aa57,I189109744,I68891433,2021,16,626
0e3df575-bd15-41f1-821e-51c48763aa57,f520daa7-29f5-4b11-b9a4-9b02860351ec,I68891433,I863896202,2022,37,966
bb26b384-ecf2-4f86-8b53-dd74d42d8f05,0e3df575-bd15-41f1-821e-51c48763aa57,I1317621060,I68891433,2017,20,859
0e3df575-bd15-41f1-821e-51c48763aa57,f520daa7-29f5-4b11-b9a4-9b02860351ec,I68891433,I863896202,2015,28,1023
e9cc852d-c229-4457-a316-e8f38255c048,0e3df575-bd15-41f1-821e-51c48763aa57,I145894827,I68891433,2020,16,655
6f93f0ad-7358-4fd0-bc47-0a62092ca0ac,0e3df575-bd15-41f1-821e-51c48763aa57,I189109744,I68891433,2018,13,433
0d9eda01-0613-4077-b69a-93861219bf67,0e3df575-bd15-41f1-821e-51c48763aa57,I59475050,I68891433,2018,15,759
0e3df575-bd15-41f1-821e-51c48763aa57,ae9d1da9-8ea6-45ab-ab98-70e36ba8a21b,I68891433,I99364266,2019,11,673
edf10c4c-ca24-4805-b33c-ddf5428d22ff,0e3df575-bd15-41f1-821e-51c48763aa57,I16292982,I68891433,2020,7,387
d5b58b79-7727-4cac-b9d6-1735e93b2968,8a91aa93-1bba-4381-a03c-d032be364f69,I191972202,I5847235,2022,5,290
