institution_id,canonical_name,academic_year,research_funding_cr,sponsored_projects,total_expenditure_cr,funding_academic_year,match_score
9657935b-6b9b-4504-9bec-eb245e65da0f,Government Medical College,2017-18,0.324,6,,2022-23,1.05
a216703f-5b10-44cb-8fe0-11f6ff1cd1bd,National Institute of Technology Durgapur,2017-18,10.118,84,,2017-18,1.05
5cb3587e-a197-4ece-8d45-9f364c87990f,Jamia Hamdard,2017-18,27.885,55,,2017-18,1.0
4aeb5e4d-7ee0-4ca2-a8ed-10cf13445ffc,GLA University,2017-18,,,,,
4aa00129-4c2f-4e57-9053-cbf0c58dd2c1,University of Kashmir,2017-18,15.033,64,,2017-18,1.0
338f6c5e-2956-40cf-80ce-2047521fc9ef,"Birla Institute of Technology, Mesra",2017-18,5.902,50,,2017-18,0.95
8c466cdb-a2a4-4bf0-856f-f28560ed0e3b,Sri Ramachandra Institute of Higher Education and Research,2017-18,9.97,35,,2017-18,1.0
cb1e371e-ffd1-4175-974b-b91e8cbe4ea1,Galgotias University,2017-18,0.412,27,,2022-23,1.0
20a76e3b-d397-44ea-a50b-42ad2940af51,Punjabi University,2017-18,0.138,7,,2017-18,1.0
b2210d61-d364-40bd-abfa-2d7b5023d562,Shivaji University,2017-18,,,,,
81dfed4d-dcca-4b15-8548-b5b5d98fa6c4,SASTRA University,2017-18,16.464,94,,2017-18,0.95
36d17eae-f23d-4896-8bb8-848c7ba25547,Mangalore University,2017-18,,,,,
149ca745-c80a-4eb3-97bd-36ad7d8e4b2b,Christian Medical College,2017-18,18.534,29,,2022-23,1.0
5374b462-1d87-4026-a9dd-901a6e394a62,"Jawaharlal Nehru Technological University, Hyderabad",2017-18,31.174,20,,2017-18,0.95
a281fcbb-f4c9-4634-9e3a-a1aa7b0c9321,Karpagam Academy of Higher Education,2017-18,,,,,
73f788c8-33d5-4d60-9d7a-bb3fd5221d14,University of Kerala,2017-18,3.826,37,,2017-18,0.95
e9cc852d-c229-4457-a316-e8f38255c048,Indian Institute of Technology Kharagpur,2018-19,136.508,715,,2018-19,1.05
49837a23-0599-4a35-a43f-15be413cc1a0,Indian Institute of Technology Bombay,2018-19,299.358,753,,2018-19,1.0
62ed1d2c-52ae-4ba2-8c99-95f009b95972,Indian Institute of Technology Madras,2018-19,522.34,580,,2018-19,1.0
129be347-f8df-4fd2-b553-37ff0fd31af1,Indian Institute of Technology Kanpur,2018-19,200.545,746,,2018-19,1.05
0e3df575-bd15-41f1-821e-51c48763aa57,Indian Institute of Technology Delhi,2018-19,211.181,597,,2018-19,1.0
bb26b384-ecf2-4f86-8b53-dd74d42d8f05,Indian Institute of Technology Guwahati,2018-19,80.92,382,,2018-19,1.05
f755a6a4-7f5e-4286-a36e-f3db5550661d,Indian Institute of Technology Roorkee,2018-19,57.509,159,,2018-19,1.05
d51bcfb2-a187-49fa-9ebd-fd12ae98e331,Indian Institute of Technology Bhubaneswar,2018-19,16.344,125,,2018-19,1.05
c4ff2815-fe99-4fc1-a6c3-402ac6322a76,Indian Institute of Technology Gandhinagar,2018-19,31.543,196,,2018-19,1.05
7553f510-4039-4c36-b5d3-2dd983d9bc70,Indian Institute of Technology Hyderabad,2018-19,54.543,113,,2018-19,1.05
5bcb34a1-ac72-47e1-9dd5-b295d7e8664f,Indian Institute of Technology Jodhpur,2018-19,37.155,269,,2022-23,1.05
ff60ecf0-39c2-4a17-a941-2b03df4ce12b,Indian Institute of Technology Patna,2018-19,8.019,48,,2018-19,1.05
aa83bbde-9db5-4ca5-ab64-f2cec6d6f46f,Indian Institute of Technology Ropar,2018-19,12.311,94,,2018-19,1.0
92004806-cba2-4966-9ebf-9f31bc5a9597,Indian Institute of Technology Indore,2018-19,13.94,171,,2018-19,1.05
e98e91f3-ef30-41ea-b7e9-c708270266ba,Indian Institute of Technology Mandi,2018-19,12.562,166,,2018-19,1.05
5f90b565-15b8-4035-ab58-963431c3275d,Indian Institute of Technology (BHU) Varanasi,2018-19,16.105,139,,2018-19,1.05
f557894b-a324-439c-a6a7-f6d2a87a6bed,Indian Institute of Technology Palakkad,2018-19,0.978,5,,2018-19,1.05
7b3d00a5-49ca-420b-a758-0534ef4fedc2,Indian Institute of Technology Tirupati,2018-19,1.727,5,,2018-19,1.05
6f93f0ad-7358-4fd0-bc47-0a62092ca0ac,Indian Institute of Technology (ISM) Dhanbad,2018-19,24.475,180,,2018-19,1.05
732980be-8d6a-4c03-8a1c-dcd5b939e27f,Indian Institute of Technology Bhilai,2018-19,35.37,73,,2022-23,1.05
a2b7b421-2ef8-4071-80e7-dcafdc7c3ecf,Indian Institute of Technology Goa,2018-19,,,,,
